"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvsfglasso" 1 "Pre" 0.49238578680203 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.69443486261819 200 10 100 1
"tvsfglasso" 1 "FDR" 0.50761421319797 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0206058108386565 200 10 100 1
"tvsfglasso" 1 "F1" 0.659863945578231 200 10 100 1
"tvsfglasso" 1 "JI" 0.49238578680203 200 10 100 1
"tvsfglasso" 1 "ED" 100 200 10 100 1
"tvsfglasso" 1 "TP" 99 200 10 100 1
"tvsfglasso" 1 "FP" 98 200 10 100 1
"tvsfglasso" 1 "FN" 0 200 10 100 1
"tvsfglasso" 1 "TN" 4753 200 10 100 1
"tvsfglasso" 1 "Pre" 0.50253807106599 200 10 100 1
"tvsfglasso" 1 "TPR" 1 200 10 100 1
"tvsfglasso" 1 "MCC" 0.701702064128381 200 10 100 1
"tvsfglasso" 1 "FDR" 0.49746192893401 200 10 100 1
"tvsfglasso" 1 "FPR" 0.0202020202020202 200 10 100 1
"tvsfglasso" 1 "F1" 0.668918918918919 200 10 100 1
"tvsfglasso" 1 "JI" 0.50253807106599 200 10 100 1
"tvsfglasso" 1 "ED" 98 200 10 100 1
"tvsfglasso" 1 "TP" 97 200 10 100 1
"tvsfglasso" 1 "FP" 100 200 10 100 1
